id,flight_id,pour_no,whiskey_id,rating,profiness,viscocity,complexity,finish_duration,created_at,updated_at,deleted_at
370,298,1,2954,"3.00",,,,,2025-04-11 07:03:22,2025-04-11 07:03:22,
371,298,2,2783,"4.10",,,,,2025-04-11 07:03:22,2025-04-11 07:03:22,
374,300,1,2783,"6.00",,,,,2025-04-11 07:26:28,2025-04-11 07:26:28,
379,303,1,2162,"6.90","7.00","6.00","6.20","7.00",2025-04-12 04:52:58,2025-04-12 04:52:58,
380,304,1,2002,"6.50",,,,,2025-04-12 22:39:11,2025-04-12 22:39:11,
381,305,1,1487,"7.30",,,,,2025-04-12 23:10:01,2025-04-12 23:10:01,
382,306,1,1183,"7.50",,,,,2025-04-13 01:00:27,2025-04-13 01:00:27,
383,307,1,865,"7.00","6.00","6.50","6.00","6.50",2025-04-13 01:24:43,2025-04-13 01:24:43,
384,308,1,854,"5.20","5.40","5.20","5.70","5.40",2025-04-13 01:42:50,2025-04-13 01:42:50,
385,308,2,1486,"4.90","5.90","5.20","5.00","5.20",2025-04-13 01:42:50,2025-04-13 01:42:50,
386,308,3,2631,"5.80","5.30","5.80","5.60","6.40",2025-04-13 01:42:50,2025-04-13 01:42:50,
387,308,4,545,"5.70","5.00","5.60","5.80","5.50",2025-04-13 01:42:50,2025-04-13 01:42:50,
394,314,1,2000,"10.00","10.00","10.00","10.00","8.90",2025-04-14 13:22:05,2025-04-14 13:22:05,
397,316,1,2,"3.30",,,,,2025-04-14 14:14:38,2025-04-14 14:14:38,
398,317,1,2,"3.10","5.50","4.80","4.50","3.80",2025-04-14 14:27:48,2025-04-14 14:27:48,
399,318,1,2228,"8.20","4.50","6.00","7.50","7.50",2025-04-15 02:22:44,2025-04-15 02:22:44,
400,319,1,840,"6.40","5.50","6.20","5.90","6.00",2025-04-15 03:54:03,2025-04-15 03:54:03,
413,330,1,2836,"2.70",,,,,2025-04-15 07:39:19,2025-04-15 07:39:19,
414,331,1,2836,"4.20",,,,,2025-04-15 07:39:22,2025-04-15 07:39:22,
416,333,1,1886,"3.80","7.50","5.50","5.00","7.60",2025-04-15 22:37:28,2025-04-15 22:37:28,
417,334,1,1580,"7.70","5.00","6.50","7.50","7.50",2025-04-16 00:29:53,2025-04-16 00:29:53,
420,337,1,2954,"3.50",,,,,2025-04-16 13:59:44,2025-04-16 13:59:44,
422,339,1,2323,"3.90",,,,,2025-04-16 14:01:02,2025-04-16 14:01:02,
424,341,1,2323,"1.80",,,,,2025-04-16 14:18:09,2025-04-16 14:18:09,
426,343,1,2836,"3.20",,,,,2025-04-16 14:24:47,2025-04-16 14:24:47,
429,346,1,2954,"3.90",,,,,2025-04-16 14:30:17,2025-04-16 14:30:17,
431,348,1,946,"5.70",,,,,2025-04-16 14:37:49,2025-04-16 14:37:49,
432,349,1,2928,"3.20",,,,,2025-04-16 14:39:41,2025-04-16 14:39:41,
434,351,1,2670,"6.80","5.70","7.00","6.50","6.00",2025-04-17 03:43:43,2025-04-17 03:43:43,
435,352,1,2836,"3.20",,,,,2025-04-17 05:19:38,2025-04-17 05:19:38,
436,352,2,96,"2.90",,,,,2025-04-17 05:19:38,2025-04-17 05:19:38,
437,353,1,2836,"4.30",,,,,2025-04-17 05:20:00,2025-04-17 05:20:00,
438,354,1,2954,"1.50",,,,,2025-04-17 05:24:14,2025-04-17 05:24:14,
439,355,1,2954,"4.80",,,,,2025-04-17 05:25:18,2025-04-17 05:25:18,
440,356,1,435,"2.90",,,,,2025-04-17 05:39:07,2025-04-17 05:39:07,
441,357,1,435,"3.50",,,,,2025-04-17 05:39:15,2025-04-17 05:39:15,
442,358,1,2836,"3.50",,,,,2025-04-17 05:45:41,2025-04-17 05:45:41,
443,359,1,2836,"2.50",,,,,2025-04-17 05:45:45,2025-04-17 05:45:45,
457,371,1,2634,"6.60","5.50","4.50","7.00","6.00",2025-04-17 20:32:35,2025-04-17 20:32:35,
458,372,1,2896,"6.10","8.30","6.50","6.00","6.80",2025-04-17 21:18:22,2025-04-17 21:18:22,
459,373,1,2235,"7.60","6.50","7.50","7.00","7.00",2025-04-17 22:02:44,2025-04-17 22:02:44,
460,374,1,2290,"7.20","5.00","6.50","7.00","7.50",2025-04-17 23:46:00,2025-04-17 23:46:00,
461,375,1,1869,"7.80","6.00","7.00","7.50","6.50",2025-04-18 00:59:28,2025-04-18 00:59:28,
465,379,1,2836,"4.40",,,,,2025-04-18 08:10:07,2025-04-18 08:10:07,
466,379,2,611,"7.50",,,,,2025-04-18 08:10:07,2025-04-18 08:10:07,
467,379,3,2634,"5.90",,,,,2025-04-18 08:10:07,2025-04-18 08:10:07,
495,405,1,2954,"4.10",,,,,2025-04-18 15:58:30,2025-04-18 15:58:30,
497,407,1,2958,"5.00",,,,,2025-04-18 16:03:27,2025-04-24 07:09:07,
499,409,1,840,"7.20","6.00","5.00","6.50","5.50",2025-04-19 01:05:55,2025-04-19 01:05:55,
500,410,1,1634,"8.30","3.00","5.50","7.00","8.00",2025-04-19 01:30:11,2025-04-19 01:30:11,
501,411,1,2084,"7.00","6.50","5.50","6.50","6.50",2025-04-19 01:50:29,2025-04-19 01:50:29,
502,412,1,1779,"6.50","1.00","6.50","6.00","4.00",2025-04-19 16:20:10,2025-04-19 16:20:10,
503,413,1,2836,"2.10",,,,,2025-04-21 06:51:59,2025-04-21 06:51:59,
504,414,1,2783,"1.50",,,,,2025-04-21 06:52:35,2025-04-21 06:52:35,
505,415,1,2323,"4.00",,,,,2025-04-21 07:19:30,2025-04-21 07:19:30,
506,416,1,2323,"2.60",,,,,2025-04-21 07:19:31,2025-04-21 07:19:31,
507,417,1,458,"3.00",,,,,2025-04-21 07:25:20,2025-04-21 07:25:20,
508,417,2,471,"3.30",,,,,2025-04-21 07:25:20,2025-04-21 07:25:20,
509,418,1,458,"3.00",,,,,2025-04-21 07:25:26,2025-04-21 07:25:26,
510,418,2,471,"2.70",,,,,2025-04-21 07:25:26,2025-04-21 07:25:26,
511,419,1,1634,"3.80",,,,,2025-04-21 07:26:24,2025-04-21 07:26:24,
512,419,2,1135,"3.60",,,,,2025-04-21 07:26:24,2025-04-21 07:26:24,
513,420,1,2954,"2.70",,,,,2025-04-21 07:27:49,2025-04-21 07:27:49,
514,420,2,2215,"3.60",,,,,2025-04-21 07:27:49,2025-04-21 07:27:49,
515,421,1,2954,"3.40",,,,,2025-04-21 07:28:29,2025-04-21 07:28:29,
516,421,2,2783,"2.80",,,,,2025-04-21 07:28:29,2025-04-21 07:28:29,
517,422,1,2836,"3.00",,,,,2025-04-21 08:20:43,2025-04-21 08:20:43,
518,423,1,2954,"2.60","3.90","3.50","2.30","4.80",2025-04-21 13:43:36,2025-04-21 13:43:36,
519,423,2,1451,"4.10","3.70","4.20","3.80","4.80",2025-04-21 13:43:36,2025-04-21 13:43:36,
520,424,1,2783,"3.40","4.40","3.20","3.40","4.00",2025-04-22 06:24:42,2025-04-22 06:24:42,
521,425,1,1298,"3.40","4.30","7.00","7.70","7.00",2025-04-22 07:05:43,2025-04-22 07:05:43,
526,427,1,1316,"6.50",,,,,2025-04-23 12:28:08,2025-04-23 12:28:08,
527,428,1,2323,"2.90",,,,,2025-04-23 12:50:13,2025-04-23 12:50:13,
528,429,1,2323,"7.70",,,,,2025-04-23 12:51:11,2025-04-23 12:51:11,
529,430,1,2568,"6.60",,,,,2025-04-24 00:27:17,2025-04-24 00:27:17,
559,447,1,840,"6.80","5.00","6.00","6.00","6.00",2025-04-24 23:21:05,2025-04-24 23:21:05,
567,455,1,840,"6.70","3.00","5.50","7.00","6.50",2025-04-25 22:51:03,2025-04-25 22:51:03,
568,456,1,1183,"7.80","6.50","7.00","7.00","7.40",2025-04-25 23:08:55,2025-04-25 23:08:55,
569,457,1,868,"7.80","5.50","6.50","7.00","5.50",2025-04-25 23:44:41,2025-04-25 23:44:41,
570,458,1,1589,"9.80","4.00","9.50","8.50","9.00",2025-04-26 00:19:44,2025-04-26 00:19:44,
571,459,1,1242,"8.70","7.00","8.50","8.50","8.50",2025-04-26 00:40:22,2025-04-26 00:40:22,
572,460,1,2973,"7.10","6.10","7.20","7.30","7.40",2025-04-27 03:07:20,2025-04-27 03:07:20,
598,477,1,2783,"3.50",,,,,2025-04-28 09:49:23,2025-04-28 09:49:23,
600,479,1,2954,"3.80",,,,,2025-04-28 09:55:03,2025-04-28 09:55:03,
602,481,1,2836,"4.10",,,,,2025-04-28 09:58:45,2025-04-28 09:58:45,
615,488,1,411,"4.40",,,,,2025-04-28 10:20:19,2025-04-28 10:20:19,
616,489,1,2954,"3.20",,,,,2025-04-28 11:37:55,2025-04-28 11:37:55,
